Tip,chinese_name,episode,movie_name,ranking,score,score_num
10话/2019年1月20日/岡本英樹/Cygames/吉田南,玛娜利亚魔法学院,10,マナリアフレンズ,1278,7.3,1267
1话/1985年12月22日/押井守/押井守/天野喜孝,天使之卵,1,天使のたまご,1277,7.3,409
22话/2003年4月16日/浜崎博嗣,机魂末世录,22,TEXHNOLYZE,1276,7.3,148
25话/2016年4月3日/渡邊政治/長月達平/坂井久太,Re：从零开始的异世界生活,25,Re:ゼロから始める異世界生活,1275,7.3,7106
86话/1983年,奇探加杰特,86,Inspector Gadget,1274,7.4,55
16话/2012年4月8日/小野学/小林立、五十嵐あぐり/佐々木政勝,天才麻将少女 阿知贺篇,16,咲-Saki- 阿知賀編 episode of side-A,1273,7.3,2609
4话/1988年7月21日/垣野内成美,吸血姬美夕 OVA,4,吸血姫美夕 OVA,1272,7.3,169
12话/2020年4月3日/南川達馬/沙村広明『波よ聞いてくれ』（講談社「アフタヌーン」連載）/横田拓己,听着这电波,12,波よ聞いてくれ,1271,7.3,290
1话/2015年10月3日,苍蓝钢铁的琶音 Cadenza,1,劇場版 蒼き鋼のアルペジオ -アルス・ノヴァ- Cadenza,1270,7.3,859
12话/2010年10月5日/水島努/安部真弘（秋田書店「週刊少年チャンピオン」連載）/石川雅一,侵略！乌贼娘,12,侵略!イカ娘,1269,7.3,3329
24话/2015年4月3日,食戟之灵,24,食戟のソーマ,1268,7.3,3956
1话/1978年12月16日,鲁邦三世VS复制人,1,ルパン三世 ルパンVS複製人間,1267,7.4,79
13话/2013年1月8日/春原ロビンソン,战勇。,13,戦勇。,1266,7.3,1720
1话/2009年12月12日,人间失格 剧场版,1,人間失格 ディレクターズカット版,1265,7.3,194
1话/2014-10-23（日本）2014-11-07（美国）2015-02-28（中国大陆）/DonHall/ChrisWilliams/StevenT.Seagle、DuncanRouleau<BigHero6>,超能陆战队,1,Big Hero 6,1304,7.3,1293
3话/2004年7月24日/今石洋之、伊藤尚往、摩砂雪/永井豪,Re: 甜心战士,3,Re:キューティーハニー,1303,7.3,165
13话/2016年4月3日/長崎健司/堀越耕平「僕のヒーローアカデミア」（週刊少年ジャンプ/集英社）,我的英雄学院,13,僕のヒーローアカデミア,1302,7.3,3800
1话/2001年11月2日/彼特·道格特/大卫·斯沃曼/李·昂克里奇,怪兽电力公司,1,"Monsters, Inc.",1301,7.3,675
1话/2012年10月27日,Smile 光之美少女！绘本里的世界都不协调！,1,映画 スマイルプリキュア! 絵本の中はみんなチグハグ!,1300,7.3,146
13话/2015年7月5日,科学小飞侠Crowds insight,13,ガッチャマン クラウズ インサイト,1299,7.3,597
12话/2019年7月11日/桜井弘明/伊藤いづも/（芳文社「まんがタイムきららキャラット」連載）/大塚舞,街角魔族,12,まちカドまぞく,1298,7.3,2064
49话/1995年4月7日/池田成→高松信司（クレジットなし）/矢立肇、富野由悠季（『機動戦士ガンダム』より）,新机动战记高达W,49,新機動戦記ガンダムW,1297,7.3,932
26话/2001年4月7日/河本昇悟/藤島康介“逮捕しちゃうぞ”（讲谈社“アフタヌーンKCDX”掲载）/中嶋敦子,逮捕令 第二季,26,逮捕しちゃうぞ Second Season,1296,7.3,300
1话/2000年10月21日/合田浩章/藤島康介/松原秀典,我的女神 剧场版,1,ああっ女神さまっ,1295,7.3,299
13话/2012年10月3日/石原立也/虎虎（KAエスマ文庫/京都アニメーション）/池田和美,中二病也要谈恋爱！,13,中二病でも恋がしたい！,1294,7.3,8909
1话/2010年4月2日/桜井弘明/きゆづきさとこ/渡辺敦子,GA 艺术科美术设计班 OVA,1,GA 芸術科アートデザインクラス OVA,1293,7.3,214
8话/2008年6月16日,天元突破 Parallel Works,8,グレパラ 〜グレンラガン パラレルワークス〜,1292,7.3,115
13话/2017年10月1日,银魂. 走光篇,13,銀魂. ポロリ篇,1291,7.3,538
4话/2014-10-29/中村春菊,4,、,Hybrid Child,1290,7.3,460
13话/2011年10月1日/川上稔,境界线上的地平线,13话,境界線上のホライゾン,1289,7.3,3008
12话/2017年1月6日/上村泰/カルロ・ゼン(「幼女戦記」／KADOKAWA刊)/細越裕治,幼女战记,12,幼女戦記,1328,7.3,2077
