,jiandu1,jiandu2,jiandu3,jiandu4
107, 山本裕介 , 大岩ケンヂ , 右凑具央、吉田隆彦 ,
108, 板村智幸 , 西尾維新 , 渡辺明夫 ,
109, 沖浦啓之 , 西尾鉄也、沖浦啓之 ,,
110, 長井龍雪 , 竹宮ゆゆこ（アスキー・メディアワークス／電撃文庫） ,,
111, 大沼心 , minori、鏡遊、御影 , 杉山延寛 ,
112,,,,
113, 湯浅政明 , 湯浅政明 , 伊東伸高 ,
114, 石原立也 , 武田綾乃（宝島社文庫「響け！ユーフォニアム」シリーズ） , 池田晶子 ,
115, 亀井幹太 , 宇仁田ゆみ , 山下祐 ,
116,,,,
117, 瀧沢進介（あおきえい、野中卓也、近藤光、平尾隆之、小船井充） , 奈須きのこ , 須藤友徳、高橋タクロヲ、小船井充 ,
118,,,,
119,,,,
120, 大森貴弘 , 緑川ゆき , 髙田晃 ,
121, 諫山創（別冊少年マガジン連載／講談社） ,,,
122,,,,
123, 大森貴弘 , 緑川ゆき ,,
124, 石黒昇、河森正治 , スタジオぬえ , 美樹本晴彦 ,
125,,,,
126,,,,
127, 原恵一 , 臼井儀人 , 末吉裕一、原勝徳 ,
128, 細田守 , 細田守 , 貞本義行 ,
129, 大森貴弘 , 緑川ゆき , 髙田晃 ,
130, , 罗杰·阿勒斯 , 罗伯·明可夫 ,
131, 今千秋 , 竜騎士07,07th Expansion , 坂井久太 
132,,,,
133,,,,
134, 出合小都美 , 荒川弘 , 中井準 ,
135, 東堂いづみ（擬人名称） ,,,
136,,,,
137, 尾石達也 , 西尾維新（『傷物語』講談社BOX） , 渡辺明夫、守岡英行 ,
138, 鲍勃·佩尔西凯蒂 , 彼得·拉姆齐 , 罗德尼·罗斯 ,
139, 新海誠 , 田中将賀 ,,
140,,,,
141, 浅香守生 , CLAMP (講談社「なかよし」連載) ,,
142,,,,
143, 板村智幸 , 西尾維新 , 渡辺明夫 ,
144, 宮崎駿 , 宮崎駿 ,,
145, 高松信司 , 小林尽 , 渡辺はじめ ,
146, 細田守 , 細田守 , 貞本義行 ,
147, 小船井充 ,,,
148, 大森貴弘 , 成田良悟 , 岸田隆宏 ,
149, 山田尚子 , かきふらい（芳文社「まんがタイムきらら」連載） , 堀口悠紀子 ,
150, 尾崎隆晴 , つくみず（新潮社「くらげバンチ」連載） , 戸田麻衣 ,
151,,,,
152,,,,
153, 細田守 , 筒井康隆 , 貞本義行 ,
154, 浅香守生 , 矢沢あい ,,
155,,,,
156, 後藤圭二 ,,,
157, 島村秀一 ,,,
158, 神山健治 , 上橋菜穂子 ,,
159, カサヰケンイチ、秋田谷典昭 , 小畑健、大場つぐみ , 下谷智之 ,
160, あおきえい ,,,
161, 岡村天斎 , BONES、岡村天斎 ,,
162, Sylvain Chomet ,,,
163, 川面真也 , あっと（月刊コミックアライブ連載『のんのんびより』,KADOKAWA刊） , 大塚舞 
164, 佐藤雄三 , 福本伸行 , 高田晴仁 ,
165, 川面真也 , あっと , 大塚舞 ,
166, 湯浅政明 , 永井豪「デビルマン」 ,,
167, Michael Dante DiMartin、Bryan Konietzko ,,,
168, 伊藤智彦 , 荒川弘 , 中井準 ,
169,,,,
170, 山内泰延(掲載「ガンガンONLINE」スクウェア・エニックス刊) ,,,
171, 小池健 , 石井克人 ,,
172, 河本昇悟 , 伊藤郁子 ,,
173, 宮本幸裕 , Magica Quartet , 岸田隆宏、谷口淳一郎 ,
174, MTJJ(木头) ,,,
175, 岸誠二 , くぼたまこと , 森田和明 ,
176, 川面真也 , あっと , 大塚舞 ,
177, 小川太一 , 武田綾乃（宝島社文庫「響け！ユーフォニアム」シリーズ） , 池田晶子 ,
178, 安藤真裕 ,,,
179, 樋口真嗣（第23 - 39話） ,,,
180, 水島努 , CLAMP , 黄瀬和哉 ,
181, 新房昭之 , 蒼樹うめ , 伊藤良明 ,
182, 石黒昇 , スタジオぬえ ,,
183, 羽原信義 , XEBEC ,,
184, ねぎしひろし , TOlllO（湖川友謙）、佐野浩敏 ,,
185,,,,
186, 今千秋 ,,,
187,,,,
188, 佐藤竜雄 , 後藤圭二 ,,
189,,,,
190,,,,
191, 金﨑貴臣 , 小林尽 , 渡辺はじめ ,
192, 加藤敏幸 , 冨樫義博（「レベルE」集英社ジャンプコミックス） ,,
193, Adam Elliot ,,,
194, 畠山守（小俣真一） , 赤坂アカ（集英社「週刊ヤングジャンプ」連載） , 八尋裕子 ,
195, 富岡聡、宮崎あぐり , 宮崎あぐり ,,
196, 今石洋之 , GAINAX・中島かずき , 錦織敦史 ,
197, Sylvain Chomet ,,,
198, 大地丙太郎 , 増田こうすけ（集英社『ジャンプスクエア』連載） ,,
199, 片山一良 , 矢立肇、片山一良 , さとうけいいち ,
200, 山川吉樹 , 押切蓮介（掲載 月刊「ビッグガンガン」スクウェア・エニックス刊） ,,
201, 杉島邦久 , 高橋和希 ,,
202, 片渕須直 , 広江礼威（小学館刊『月刊サンデージェネックス』連載） ,,
203, 羽原信義 , XEBEC ,,
204,,,,
205, 広報広聴課ゾンビ係 ,,,
206,,,,
207, 山田尚子 , かきふらい（芳文社「まんがタイムきらら」連載） , 堀口悠紀子 ,
208, 武本康弘 , 賀東招二 , 堀内修 ,
209, 羽山淳一 , 荒木飛呂彦 , 羽山淳一 ,
210,,,,
211, 山﨑みつえ , 椿いづみ , 谷口淳一郎 ,
212, 山川吉樹 , 押切蓮介（掲載 月刊「ビッグガンガン」スクウェア・エニックス刊） , 桑波田満（SMDE） ,
213, 中村隆太郎 , 岸田隆宏 ,,
214, 古川知宏 , ブシロード、ネルケプラニング , 齊田博之 ,
215, James Algar , Gaëtan Brizzi ,,
216,,,,
217, 岸誠二 , 田中ロミオ ,,
218, 草川啓造 , 都築真紀 , 奥田泰弘 ,
219,,,,
220, 千明孝一 , GONZO ,,
221, 水島努 , 杉本功 ,,
222, 今野緒雪 , 松島晃 ,,
223, 石原立也 , Key,Visual Art's , 荒谷朋恵 
224,,,,
225, 李阳 , 李阳 ,,
226,,,,
227, さとうけいいち ,,,
228,,,,
229,,,,
230, 岸誠二 , 森田和明 ,,
231,,,,
232, 尾石達也 , 西尾維新（『傷物語』講談社BOX） , 渡辺明夫、守岡英行 ,
233, 浜崎博嗣 , 南條範夫「駿河城御前試合」／山口貴由（月刊『チャンピオンRED』連載中） , 筱雅律 ,
234, 奈須きのこ ,,,
235, 柴田彰久 , 丸戸史明 （ファンタジア文庫／株式会社KADOKAWA） , 高瀬智章 ,
236,,,,
237,,,,
238, たつき , けものフレンズプロジェクト , irodori ,
239, 佐藤卓哉 , ばらスィー ,,
