,jiandu1,jiandu2,jiandu3,jiandu4
519, 木上益治 ,,,
520,,,,
521,,,,
522,,,,
523, ウィーダ （ルイス・ド・ラ・ラメー） ,,,
524, 水島精二 , BONES・會川昇 , 伊藤嘉之 ,
525, 出合小都美 , 緑川ゆき／月刊LaLa（白泉社）連載 ,,
526,,,,
527, 案納正美 , 小川悦司 , 岸義之、二宮常雄 ,
528,,,,
529,,,,
530,,,,
531, ボブ白旗 , 日丸屋秀和 , 河南正昭 ,
532, りんたろう , 手塚治虫 , 名倉靖博 ,
533,,,,
534, 飯村正之（第1话） , 蒼樹うめ , 伊藤良明 ,
535,,,,
536, 下田正美 , 矢立肇・伊東岳彦 , 山下明彦 ,
537, 水島努 , 木尾士目 , 谷口淳一郎 ,
538, 浜津守 , 平山智 ,,
539,,,,
540, 上海アリス幻樂団(ZUN) ,,,
541, ほしかわたかふみ , 波部崇、うめつゆきのり ,,
542, 長井龍雪 , 鎌池和馬＋冬川基（電撃コミックス／アスキー・メディアワークス刊） , 田中雄一、冷水由紀絵（副人物设计） ,
543, ヒガアロハ ,,,
544, 石平信司 , 橙乃ままれ , いとうまりこ ,
545, 韦斯·安德森（Wes Anderson） ,,,
546, もりたけし , ガイナックス ,,
547, 小野勝巳 , 上松範康、金子彰史 , 藤本さとる ,
548,,,,
549, 鶴巻和哉 , 舞城王太郎 , 井関修一 ,
550,,,,
551, 前田真宏 , アレクサンドル・デュマ著「モンテ・クリスト伯」 ,,
552, 水島精二 ,,,
553,,,,
554, 金﨑貴臣 , 暁なつめ , 菊田幸一 ,
555, 福島利規 , 満田拓也 ,,
556,,,,
557, 金﨑貴臣 , 暁なつめ , 菊田幸一 ,
558, Iorph ,,,
559,,,,
560, 藤原佳幸 , 得能正太郎 , 菊池愛 ,
561,,,,
562,,,,
563, 荒川弘 ,,,
564,,,,
565, 水島努 , 久米田康治 , 田中将賀 ,
566, 五十嵐卓哉 , 大久保篤 ,,
567,,,,
568, 眉月じゅん（小学館「週刊ビッグコミックスピリッツ」連載） ,,,
569,,,,
570, 青木康直 , 矢立肇、富野由悠季 , 村瀬修功 ,
571, 藤田陽一 , 『おそ松くん』 赤塚不二夫／「週刊少年サンデー」（1962年～1969年）他で連載 ,,
572, 大沼心 , 井上堅二 , 大島美和 ,
573,,,,
574, 空知英秋 ,,,
575, あおきえい、野中卓也、小船井充、滝口禎一、平尾隆之、三浦貴博 , 奈須きのこ , 須藤友徳 ,
576, 紅優 , 森山大輔 , 黒田和也 ,
577, 笹原和也 , 小林源文 ,,
578,,,,
579, 森山洋 ,,,
580, 西村聡 , 内藤泰弘 , 吉松孝博 ,
581,,,,
582,,,,
583,,,,
584, 令丈ヒロ子・亜沙美[絵]（講談社青い鳥文庫『若おかみは小学生！』シリーズ） ,,,
585, 奥脇雅晴 , 高橋留美子（小学館「人魚の森·人魚の傷」るーみっくわーるどスペシャル） ,,
586, 川面真也 , 庵田定夏 , 赤井俊文 ,
587, 田中洋之 , 八木教広 , 梅原隆弘 ,
588, John Kahrs ,,,
589, 政木伸一 , しげの秀一 ,,
590,,,,
591, 安藤正臣 , 篠原健太 (集英社ジャンプ コミックス刊) , 黒澤桂子 ,
592,,,,
593, 加瀬充子（第1話 - 第7話）、今西隆志（第2話 - 第13話） , 矢立肇、富野由悠季 ,,
594, 杉田圭 ,,,
595, 吉浦康裕 , 吉浦康裕 ,,
596, 汤山邦彦（总导演）、日高政光（导演） , 田尻智、杉森建、増田顺一 , 一石小百合（第1话 - 第191话）、松原德弘（第1话 - 第6话）、毛利和昭（第1话 - 第6话）、松岛贤二、西野弘二 ,
597, 迪恩·德布洛斯 , 克里斯·桑德斯 ,,
598, 浅香守生 , CLAMP ,,
599, 岸誠二 , サンドロビッチ・ヤバ子 , だろめおん（小学館「マンガワン」連載中） , 森田和明 
600,,,,
601, 河森正治 , 河森正治 , 齋藤卓也 ,
602, 木上益治 ,,,
603, 桜井画門（講談社『good! アフタヌーン』連載） ,,,
604, 今石洋之 , 今井トゥーンズ ,,
605, 五十嵐卓哉 , 東堂いづみ , 中澤一登 ,
606, 饺克力 , 饺克力 ,,
607,,,,
608, 合田浩章 , 松原秀典 ,,
609, 渡部高志 ,,,
610,,,,
611,,,,
612, 小野学 , 小林立 , 佐々木政勝 ,
613,,,,
614, 五十嵐卓哉 , 武内直子 , 爲我井克美 ,
615, 岡本英樹 , 天乃咲哉（月刊バーズ・幻冬舎コミックス刊） , 黒澤桂子 ,
616, 玛嘉·莎塔碧、Vincent Paronnaud , 玛嘉·莎塔碧 ,,
617,,,,
618, 矢野雄一郎 , 石川雅之 , 高岡淳一 ,
619, 何小疯 ,,,
620, 山川吉樹 , Key , 飯塚晴子 ,
621, 森田宏幸 ,,,
622, アミノテツロー , 小野不由美（原作）、藤崎竜（漫画） , 越智信次 ,
623, 大地丙太郎 , 小花美穂 ,,
624,,,,
625, 中村春菊 ,,,
626, 河村智之 , カツヲ（「月刊コミック電撃大王」連載（毎月27日発売）） , 横田拓己 ,
627, 岸誠二 , 木村太彦（掲載 月刊『ガンガンWING』スクウェア・エニックス刊） ,,
628, 美原轟（原案） ,,,
629,,,,
630, 原田孝宏・黒木美幸 , バンダイナムコエンターテインメント , 田中裕介・飯塚晴子 ,
631,,,,
632, 佐藤順一 , 佐藤順一 , 飯塚晴子 ,
633, まつもとよしひさ , 新田祐克 , 大西貴子 ,
634, 多田俊介 , CLAMP , 菊地洋子 ,
635, 高津カリノ ,,,
636, LEVEL-5 ,,,
637, 太田雅彦 , 桜井のりお , 大隈孝晴 ,
638, 境宗久 , 尾田栄一郎 ,,
639, 水島努 , 杉本功 ,,
640, 多田俊介 , 田中芳樹 ,,
641, 志水淳児 , 東堂いづみ , 稲上晃、爲我井克美 ,
642, 鴨志田一 (電撃文庫刊「『青春ブタ野郎』シリーズ」) ,,,
643,,,,
644, 野田サトル（集英社「週刊ヤングジャンプ」連載） ,,,
645, 加藤敏幸 , 荒木飛呂彦（集英社ジャンプ コミックス刊） , 石本峻一 ,
646, 河森正治 , 江端里沙 ,,
647, 須藤典彦、浅田裕二（171-193话） , 田尻智、杉森建、増田順一 , 山田俊也、松岛贤二、松宫稔展、西野弘二 ,
648, 水島努 , 臼井儀人 , 末吉裕一郎 ,
649,,,,
650, 水島努 , 久米田康治 , 田中将賀 ,
651, 冨士川祐輔 , 石井あゆみ ,,
652,,,,
653, Wolfgang Lauenstein、Christoph Lauenstein ,,,
654, カサヰケンイチ , 志村貴子 , 音地正行 ,
655, 菅原そうた ,,,
656,,,,
657, 川口敬一郎 , 桜場コハル , 鈴木豪 ,
658, 平池芳正 , 小箱とたん , 杉本功 ,
659,,,,
660, 佐藤順一 , 佐藤順一 , 飯塚晴子 ,
661, さとうけいいち , さとうけいいち , 羽山賢二 ,
662,,,,
663, 矢野孝典 , ユキヲ（COMICメテオ連載） , 古賀誠 ,
664, 新房昭之 , 都築真紀／ivory , 奥田泰弘 ,
665, Tomm Moore , Nora Twomey ,,
666,,,,
667, 石平信司 , 真島ヒロ（周刊少年Magazine／讲谈社） , 山本碧 ,
668, 宮嶋星矢 ,,,
669, 小林常夫 , 森薫 ,,
670,,,,
671,,,,
672,,,,
673, 橘正紀 , 野崎あつこ(野崎温子) ,,
674, 川尻善昭 , 川尻善昭 , 箕輪豊 ,
675, 杨凯华 , 包蕾 , 杨凯华、颜志强 ,
676, 矢野雄一郎 , モンキー・パンチ「ルパン三世」 , 横堀久雄 ,
677, 满田拓也 ,,,
678, John Lasseter ,,,
679, 山賀博之 , 中山文十郎+ぢたま某 , 高村和宏 ,
680, 伊達勇登(221-699)、小林治(700-703)、今千秋(704-708)、渡部穏寛(709-713)、むらた雅彦(714-720) , 岸本斉史,,故事协力：矢野隆(671-678鼬真传、709-713鹿丸秘传)、十和田シン(704-708佐助秘传)、ひなたしょう(714-720木叶秘传) 
681, 严定宪、林文肖、胡依红、王加世、阎善春、姚光华、沈寿林、薛梅君、彭戈 , 郑渊洁 ,,
682,,,,
683, 幾原邦彦 , 武内直子 , 伊藤郁子 ,
684, 平田敏夫 , 秋乃茉莉 ,,
685, 平尾隆之（チーフディレクタ ー） , 双葉ひな、ささきむつみ , 小林利充 ,
686, 大塚隆史 , 稲上晃、川村敏江、香川久 ,,
687,,,,
688,,,,
689, 佐藤順一 , 武内直子 , 只野和子 ,
690,,,,
691,,,,
692, 川口敬一郎 , 桜場コハル , 鈴木豪 ,
693,,,,
694,,,,
695, 水島努 , 久保保久（講談社「イブニング」連載） , 谷口淳一郎 ,
696,,,,
697,,,,
698, 超平和バスターズ ,,,
699, 川口敬一郎 , 西尾公伯 ,,
700, 满田拓也 ,,,
701, 志水淳児 , 香川久 ,,
702, 今川泰宏 , 永井豪 , 竹内進二 ,
703, 川口敬一郎 , 西尾公伯 ,,
704, 佐藤順一 , 佐藤順一 , 飯塚晴子 ,
705, 伊達勇登 , 岸本斉史 , 西尾鉄也、鈴木博文 ,
706, 大槻敦史 , 矢吹健太朗・長谷見沙貴 , 岡勇一 ,
707, 神山健治 × 荒牧伸志 , 士郎正宗「攻殻機動隊」（講談社 KCデラックス刊） , イリヤ・クブシノブ ,
708, 畑博之 , なもり（一迅社「コミック百合姫」連載） , 谷口元浩 ,
709, 加瀬充子 , 香川久 ,,
710, 瀬下寛之 , 弐瓶勉『BLAME!』(講談社「アフタヌーン」所載) ,,
711, 板村智幸 , 西尾維新 『花物語』 (講談社BOX) , 渡辺明夫 ,
712, 芝山努 , 藤子・F・不二雄 ,,
713, Santiago Grasso ,,,
714, 水島努 , 大和田秀樹 , 磯野智 ,
715,,,,
716, 長崎健司 , 堀越耕平「僕のヒーローアカデミア」（週刊少年ジャンプ , 集英社） ,
717, 北久保弘之（8-13）→二村秀樹、古瀬登（1-7） , 荒木飛呂彦 , 羽山淳一 ,
718, 金澤洪充 , 氏家ト全（講談社「週刊少年マガジン」連載） ,,
719, 村瀬修功 , Manglobe , 恩田尚之 ,
720,,,,
721,,,,
722, 新房昭之 , 久米田康治 , 守岡英行 ,
723, 伊藤尚往 , 尾田栄一郎 , 新垣重文 ,
724, 浅香守生・大橋誉志光 , ブロッコリー ,,
725,,,,
726,,,,
727,,,,
728, 满田拓也 ,,,
729,,,,
730, 山賀博之 , 中山文十郎、ぢたま某 , 高村和宏 ,
731, 富野由悠季 ,,,
732, 富野喜幸、藤原良二 ,,,
733, 原泰久 ,,,
734, 大友克洋、森本晃司、大森英敏、梅津泰臣、北爪宏幸、大橋学、北久保弘之、なかむらたかし ,,,
735, Stephen Hillenburg ,,,
736, 高橋和希 ,,,
737, 山賀博之 , GAINAX , 平松禎史 ,
738, 岸誠二 , TYPE-MOON , 森田和明、广濑智仁 ,
739, 中西伸彰 , 加瀬政広 ,,
740,,,,
741,,,,
742,,,,
743, John Lasseter , Josh Cooley ,,
744, 高松信司 , 小林尽 , 渡辺はじめ ,
745, 中村光 ,,,
746,,,,
747,,,,
748, 高雄統子 ,,,
749,,,,
750, 佐山聖子 , 仲村佳樹 ,,
751,,,,
752,,,,
753, 高橋良輔 , 矢立肇、高橋良輔 , 塩山紀生 ,
754, 今千秋 , 二ノ宮知子 , 島村秀一 ,
755, 戴铁郎、范马迪、熊南清 , 诸志祥 , 顾建国 ,
756,,,,
757, 山口史嗣 , しげの秀一 ,,
758, 大羽快 ,,,
759,,,,
760, 2015-07-17(中国大陆) , Mark Burton , Richard Starzak ,
761, 今泉賢一 , 天野明 , 田中将賀 ,
762, 原恵一 , 森絵都 ,,
763, 橋本裕之 , Koi（芳文社「まんがタイムきららMAX」連載） , 奥田陽介 ,
764, 岩崎良明 , 畑健二郎 ,,
765, 滝口禎一 , 新美南吉 ,,
766, 青木康直 , 富野由悠季、矢立肇 ,,
767,,,,
768,,,,
769, 天衝 , 原悠衣 , 植田和幸 ,
770, 岸誠二 , サンドロビッチ・ヤバ子 , だろめおん（小学館「マンガワン」連載中） , 森田和明 
771, 高橋ナオヒト , AQUAPLUS（アクアプラス） ,,
772,,,,
773, 浜津守 , 車田正美 , 井上栄作、本桥秀之 ,
774, 武本康弘 , 西屋太志 ,,
775, 大森貴弘 ,,,
776, 長峯達也 , 川村敏江、爲我井克美 ,,
777,,,,
778,,,,
779,,,,
780, 中鶴勝祥 ,,,
781, 田中芳樹 ,,,
782,,,,
783,,,,
784, EVERGREEN ,,,
785, 篠原俊哉 ,,,
786, 菅原そうた ,,,
787, こだま兼嗣 , 青山剛昌 , 須藤昌朋 ,
788, 钟鸣 , 一汪空气 ,,
789, 岩佐裕子 ,,,
790,,,,
791, 水島精二 , 武井宏之 ,,
792, Nitro ,,,
793, えすのサカエ ,,,
794, 大畑晃一 , 峰倉かずや ,,
795, 多田俊介 , 田中芳樹 ,,
796, 赤城博昭 , 山本崇一朗「からかい上手の高木さん」（小学館「ゲッサン」連載中） , 高野綾 ,
797,,,,
798, 北久保弘之 ,,,
799, 山本裕介 , 平尾アウリ（徳間書店 リュウコミックス） , 下谷智之、米澤優 ,
800, 茶麻 ,,,
801, 宮繁之 , 池波正太郎『鬼平犯科帳』（文春文庫） , 宮繁之 ,
802,,,,
803,,,,
804,,,,
805, 岡嶋国敏 , 池田仁男 , Studio OX,鈴木典孝 
806, Walt Disney , Ub Iwerks ,,
807,,,,
808, 内海紘子 , 吉田秋生「BANANA FISH」（小学館 フラワーコミックス刊） , 林明美 ,
809,,,,
810, 渡部高志 , 上遠野浩平 ,,
811, 小林智樹 , 久弥直樹 , 古賀誠 ,
812,,,,
813,,,,
814, 钱远达 阎善春 ,,,
815, 高柳滋仁 , 若木民喜 , 渡辺明夫 ,
816,,,,
817, 岡村天斎 , BONES、信本敬子 ,,
818, 遠藤卓司 , ヘッドギア ,,
819,,,,
820, 高橋良輔、TEAM FLAG ,,,
821,,,,
822,,,,
823, 小林治 , まつもと泉 ,,
824,,,,
825, 佐藤竜雄 ,,,
826, gimik、GONZO , 門之園恵美 ,,
827, 高村和宏 , 島田フミカネ&Projekt Kagonish , 高村和宏 ,
828, 武本康弘 , クール教信者（双葉社「月刊アクション」連載中） , 門脇未来 ,
829,,,,
830, 多田俊介 , 田中芳樹「銀河英雄伝説」（東京創元社） , 菊地洋子、寺岡巌、津島桂 ,
831, 春原ロビンソン ,,,
832, 押井守 , 押井守 , 天野喜孝 ,
833,,,,
834,,,,
835, 桜井弘明 ,,,
836,,,,
837, 舛成孝二 , ベサメムーチョ , 千葉崇洋 ,
838, 佐藤順一(47～59)、幾原邦彦 , 武内直子 , 只野和子 ,
839, 平野俊貴 , 平野俊貴・垣野内成美 , 門之園恵美 ,
840,,,,
841, 松尾衡 , PEACH-PIT (幻冬舎コミックス刊「月刊コミックバーズ」連載中) , 石井久美 ,
842, 夏目真悟 , オノ・ナツメ ,,
843, 河本昇悟 , 藤島康介“逮捕しちゃうぞ”（讲谈社“アフタヌーンKCDX”掲载） , 中嶋敦子 ,
844, 李夏、程腾 ,,,
845, 桜井弘明 , きゆづきさとこ , 渡辺敦子 ,
846, 亨利·塞利克 ,,,
847, 石原立也 , 虎虎（KAエスマ文庫,京都アニメーション） , 池田和美 
848, 水島努 , 安部真弘（秋田書店「週刊少年チャンピオン」連載） , 石川雅一 ,
849, 浜崎博嗣 ,,,
850, 桜井弘明 , 伊藤いづも,（芳文社「まんがタイムきららキャラット」連載） , 大塚舞 
851, 今川泰宏 , 山下明彦、小曽根正美 ,,
852, 川上稔 ,,,
853,,,,
854, 合田浩章 , 藤島康介 , 松原秀典 ,
855,,,,
856, 岡本英樹 , Cygames , 吉田南 ,
857, 小野学 , 小林立、五十嵐あぐり , 佐々木政勝 ,
858,,,,
859, 中村春菊 ,,,
860, 渡邊政治 , 長月達平 , 坂井久太 ,
861,,,,
862,,,,
863, 池田成→高松信司（クレジットなし） , 矢立肇、富野由悠季（『機動戦士ガンダム』より） ,,
864, 布拉德·伯德 , 简·皮克瓦 ,,
865, 夏目真悟 , 上遠野浩平 (電撃文庫 刊) , 澤田英彦 ,
866, 和ヶ原聡司 ,,,
867, 鍋島修 , 星野桂 , 守岡英行 ,
868, けらえいこ (KADOKAWA刊) , 大武正枝 ,,
869,,,,
870, 高橋慶太郎 ,,,
871, 浅香守生、大橋誉志光 , 藤田まり子 ,,
872,,,,
873, 鏑木ひろ(1-3)、米田和弘(4-) , 江口夏実 , 加藤寛崇(1-3)、お祭似郎(4-) ,
874, Chris McKay ,,,
875,,,,
876,,,,
877, 新房昭之 , 遠藤海成 , 守岡英行 ,
878,,,,
879, 荒川航 , 福地仁 ,,
880, 幾原邦彦 , 只野和子 ,,
881, 大友克洋 ,,,
882,,,,
883, 谷口悟朗 , 加藤裕美(动画人物设定) , 海老川兼武(机械人物设定) ,
884, 上村泰 , カルロ・ゼン(「幼女戦記」／KADOKAWA刊) , 細越裕治 ,
885,,,,
886, 大沼心 , 井上堅二 , 大島美和 ,
887,,,,
888,,,,
889, たかはし ひでやす（小学館「月刊コロコロコミック」連載中） ,,,
890, 芝山努 , 藤子・F・不二雄 ,,
891, 1990-12-24(英国) , Nick Park ,,
892, 小林智樹 , Leaf、アクアプラス , 中田正彦 ,
893, 加藤久仁生 ,,,
894, 汤山邦彦 , 田尻智、増田順一、杉森建 , 毛利和昭、松原徳弘、一石小百合 ,
895,,,,
896, 橋本みつお , しげの秀一 ,,
897, 橋本裕之 , Koi（芳文社「まんがタイムきららMAX」連載） , 奥田陽介 ,
898, 佐藤卓哉 , 高嶋ひろみ , 坂井久太 ,
899, 水島努 , 木尾士目 , 谷口淳一郎 ,
900,,,,
901, 今石洋之、伊藤尚往、摩砂雪 , 永井豪 ,,
902, 新房昭之 , 小林尽 , 大田和寛 ,
903, 小林雅仁 , 荻上直子 , Francesca Natale、Takashi Tateoka ,
904, 胡兆洪 尤磊 乔元正（第一话）刘惠仪（第二话）蔡渊兰（第三话）胡兆洪 朱冰（第四话） ,,,
905, 高橋良輔 , 高橋良輔 , 塩山紀生 ,
906, 河森正治 , 河森正治 ,,
907, たかはしみき（サンエックス） ソニー・マガジンズ刊 『こげぱん』絵本シリーズより ,,,
908, 藤田春香 , 暁佳奈（KAエスマ文庫／京都アニメーション） , 高瀬亜貴子 ,
909, 合田浩章 , 藤島康介 , 松原秀典 ,
910,,,,
911, 及川啓 , 桜場コハル , 田中誠輝 ,
912, 高村和宏 , 島田フミカネ&Projekt Kagonish , 高村和宏 ,
913,,,,
914, ほしかわたかふみ , 波部崇 ,,
915, 高雄統子 , 中村光 ,,
916, 松尾衡 , PEACH-PIT (幻冬舎コミックス刊「月刊コミックバーズ」連載中) , 石井久美 ,
917,,,,
918, マツダユカ , 未乃タイキ ,,
919, 安田刚士 , 岡勇一 ,,
920, 高柳滋仁 , 若木民喜 , 渡辺明夫 ,
921,,,,
922,,,,
923, 長崎健司 , あさのあつこ（YA!ENTERTAINMENT,講談社） ,
924, 塩谷直義 , 恩田尚之、浅野恭司 ,,
925,,,,
926, 石田祐康 ,,,
927, 難波日登志 , 桜庭一樹 , 川元利浩・富岡隆司 ,
928,,,,
929, 椎橋寛 ,,,
930, 小島正幸 , つくしあきひと , 黄瀬和哉 ,
931,,,,
932,,,,
933, 篠原俊哉 ,,,
934, 斎藤久 , 土塚理弘、五十嵐あぐり , 細田直人 ,
935, 浜名孝行 , 都築真紀 , 橋立佳奈 ,
936, 岡村天斎 , 加藤和恵 , 佐々木啓悟 ,
937,,,,
938, こだま兼嗣 , 青山剛昌 , 須藤昌朋 ,
939,,,,
940, 竹内友 ,,,
941, 常光希 ,,,
942, 桜井弘明 , きゆづきさとこ , 渡辺敦子 ,
943,,,,
944,,,,
945, 亀井幹太 , 丸戸史明 （ファンタジア文庫／株式会社KADOKAWA） , 高瀬智章 ,
946, 浜名孝行 , 有川浩 「図書館戦争」シリーズ(角川文庫刊) ,,
947, 加瀬充子 , オノ・ナツメ ,,
948, 山下宏幸 , 岸本斉史 , 岸本斉史、西尾鉄也、鈴木博文 ,
949,,,,
950,,,,
951, 林春柳 ,,,
952, ヤマザキコレ ,,,
953, 水島精二 , 勇人 , 大塚舞 ,
954, 小田扉 ,,,
955, 大地丙太郎 , 重野なおき（白泉社ヤングアニマル連載） , 山中純子 ,
956, 梶原一騎 , 香川久 ,,
957, ヤマザキコレ（マッグガーデン刊） ,,,
958,,,,
959, 富野由悠季 ,,,
960, 手冢治虫 ,,,
961, 佐藤卓哉 , 柳田義明、田中雄一 ,,
962, 元永慶太郎 , 創通／フィールズ ,,
963, 飯野慎也 , 稲垣理一郎・Boichi , 岩佐裕子 ,
964, 鈴木央 , 佐々木啓悟 小松麻美 ,,
965, 真野玲 , 小野不由美、いなだ詩穂（KCなかよし・講談社漫画文庫刊） ,,
966,,,,
967, 水島努 , 臼井儀人 , 末吉裕一郎 ,
968, Nick Park , Steve BOX ,,
969,,,,
970,,,,
971, Nora Twomey , Deborah Ellis ,,
972, 米たにヨシトモ , 附田祐斗・佐伯俊 ,,
973, 大森貴弘 , 成田良悟 ,,
974, 大地丙太郎 ,,,
975,,,,
976, 山田尚子 , 大今良時（講談社コミックス刊） , 西屋太志 ,
977, 森岡浩之 ,,,
978, 山本沙代 ,,,
979, kashmir『百合星人ナオコサン』（『月刊コミック電撃大王』連載） ,,,
980,,,,
981, タムラコータロー , あだちとか ,,
982,,,,
983, 高柳滋仁 , ブロッコリー ,,
984,,,,
985,,,,
986, 森高夕次(コージィ城倉)、アダチケイジ「グラゼニ」（モーニング , 講談社） ,,
987, Production I.G、Aniplex , 箸井地図 ,,
988, 谷口悟朗 ,,,
989, 福富博 , 藤子・F・不二雄 ,,
990, こだま兼嗣 , 青山剛昌 , 須藤昌朋 ,
991,,,,
992, ワタナベシンイチ , 石野聡 ,,
993, チームまなび部屋（平尾隆之、小笠原篤、金月龍之介、高橋タクロヲ） , ufotable , 小笠原篤（ビジュアルディレクター） ,
994, 增原光幸 ,,,
995, 河森正治 , スタジオぬえ , 美樹本晴彦 ,
996, Dorota Kobiela、Hugh Welchman ,,,
997, 佐藤順一 , 佐藤順一 , 飯塚晴子 ,
998, Brandon Vietti ,,,
999, 安藤真裕、塚田拓郎 , 岡田麿里,絵本奈央『荒ぶる季節の乙女どもよ。』（講談社「別冊少年マガジン」連載） , 石井かおり 
