,chinese_name,director,episode,movie_name,movie_time,ranking,score,score_num,summary,tv_time,week,month,day,year
3608,兔宝的悲惨日常,山田丰德,13,うーさーのその日暮らし,,3842.0,6.4,358.0,謎の動物“うーさー”の荒ぶりそうであまり荒ぶらない「その日暮らし」。,10/2/2012,星期二,10,2,2012
3609,告白实行委员会,,1,告白実行委員会 告白予行練習 ショートストーリー,,3843.0,6.4,227.0,メジャーデビューアルバムにしてベスト！！,,,,,
3610,明治东京恋伽,大地丙太郎,12,明治東亰恋伽,,3844.0,6.3,116.0,非常普通的女高中生主人公在一个红色满月之夜，遇见了一位自称是“魔术师”查理的人相遇。借助查理的手穿越到了明治时代。在这里，存在着很多奇怪的东西，这就是明治时代的“东京”。在查理的引导下，到达了鹿鸣馆。等待潜入晚会主人公的是森欧外、菱田春草、川上音二郎、泉镜花、藤田五郎、小泉八云等历史上的人物们。在不熟悉的时代，在生活中与帅哥们的接触让她萌生了恋慕心。主人公是回到原来的时代呢，还是……？超越时空的爱……究竟结果是？───请闭上眼睛。现在开始就要揭露本世纪最大的魔术我数三个数，你的身体就会从这个世界消失准备好了嘛？那么……3、2、1、来吧，张开眼睛───,1/9/2019,星期三,1,9,2019
3611,境界的彼方,,5,きょうかいのかなた アイドル裁判! ～迷いながらも君を裁く民～,,3845.0,6.5,866.0,,11/18/2013,,11,18,2013
3612,东京魔人学园剑风帖,石平信司,14,東京魔人學園剣風帖 龖,,3846.0,6.3,158.0,《东京魔人学园剑风贴》是东京魔人学园传奇系列的第一部作品，游戏在1998年6月16日发售，以电子小说方式表示的AVG部分，也含有传统战棋类SLG战斗部分。故事以东京新宿的真神学园为舞台，讲述持有特殊“力量”的少年少女们的故事，他们一方面因为这样的力量而烦恼，另一方面和和伙伴们运用“力量”和妖魔作战，解决各种各样的事情，揭发存在于现世的黑暗。《东京魔人学园》系列曾风靡PS时代，2004年在PS2上发售了最新一作《东京魔人学园外法帖血风录》，此后暂时没有新作问世。,1/19/2007, ,1,19,2007
3613,战警,木崎文智,12,X-MEN,,3847.0,6.0,55.0,Marvel作品动画化第三弹。,4/1/2011,星期五,4,1,2011
3614,噬血狂袭,山本秀世,2,ストライク・ザ・ブラッド ヴァルキュリアの王国篇,,3848.0,6.5,570.0,いつものように登校している古城と雪菜。,,,,,
3615,英雄解体,黑柳利充,1,「英雄」解体,,3849.0,6.1,71.0,没有了用处就会被杀死——这就是英雄的宿命。就像那圣女贞德一般。,,,,,
3616,足球小将,加藤敏幸,52,キャプテン翼,,3850.0,6.3,136.0,2018年《足球小将》将再度让世界沸腾！,4/2/2018,星期二,4,2,2018
3617,西方善魔女,中山胜一,13,西の善き魔女 Astraea Testament,,3851.0,6.0,62.0,位于西北部的女王制国家格拉尔，被称为星仙女王的历代女王誓言非战，绝对不动用武力，以和平谈判解决纷争，国家因此得以繁荣。于是西方诸国皆称她们为「西方善魔女」。,4/7/2006,金,4,7,2006
3618,猫狗宠物街,松田清,11,うちタマ?! ～うちのタマ知りませんか？～,,3854.0,6.2,92.0,某城镇3丁目频繁贴着的寻宠海报。,1/9/2020,星期四,1,9,2020
3619,亡国的阿基德,赤根和树,1,コードギアス 亡国のアキト 第2章「引き裂かれし翼竜」,9/14/2013,3855.0,6.5,1083.0,皇歴2017年（革命暦228年）、ユーロ・ブリタニアとユーロピア共和国連合（E.U.）の戦争は続いていた。劣勢のE.U.軍は、イレヴン――ブリタニアに占領された亡国の日本人――を集めた特殊部隊、wZERO隊を設立した。そして、wZERO隊に新たな指令が下る。それは陽動のため敵中降下を命じる過酷な内容だった。ｗZERO隊のパイロットは、隊長のレイラ以下、先の戦闘での唯一の生き残り日向アキト、イレヴンのゲットーを逃げ出し闇社会で生きてきたリョウ、ユキヤ、アヤノのみ。それぞれがさまざまな思惑を抱えたまま、作戦は発動する。一方、ユーロ・ブリタニアでは恩人を謎の力“ギアス”で自死させたシンが、聖ミカエル騎士団の総帥に任命される。自らの野心のために着々とあゆみを進めるシンと、配下のアシュラ隊に出動命令が下る。,,,,,
3620,男子啦啦队,吉村爱,12,チア男子!!,,3856.0,6.2,97.0,在柔道上遭遇挫折的坂东晴希，被幼时以来的好友桥本一马邀请，而组成了前所未闻的男子啦啦队“BREAKERS”。聚集在一起的有：好认死理的沟口、很能吃的阿顿、轻浮的关西人·弦和一郎、以及有过啦啦队经验的美青年·翔，这些独具个性的人们。有着“想要打破”的某些东西的男儿们，开始了新的挑战……！,7/5/2016,星期二,7,5,2016
3621,恶魔幸存者,岸诚二,13,DEVIL SURVIVOR 2 the ANIMATION,,3857.0,6.5,1369.0,故事讲述某个星期天的突发事件，神秘的侵略者袭击了日本全领。这些侵略者每天都会展开一次袭击，每次袭击都会令人们陷入恐怖和绝望的境地。在这么一个极限状态下，出现了13名“恶魔召唤者”，他们和恶魔展开契约，获得了与神秘侵略者对抗的力量。而他们所剩的时间只有7天。,4/4/2013,,4,4,2013
3622,妹妹公主,下田屋,13,シスター・プリンセス RePure,,3858.0,6.3,128.0,妹妹公主RePure是一些小情节故事的合集，每一话由两个部分组成，第一部分是一个独立的小故事，第二部分是以12个姐妹中的一个的为主题的短故事。,10/2/2002,,10,2,2002
3623,遥的接球,洼冈俊之,12,はるかなレシーブ,,3859.0,6.5,664.0,从东京搬到冲绳的高中二年级生，大空遥。总是开朗乐观的遥，其实也有自卑之处——身高比普通女生要高。,7/6/2018,星期五,7,6,2018
3624,回忆永恒,元永庆太郎,13,ToHeart Remember my memories,,3860.0,6.3,151.0,たくさんの時間が、オレたちの周りを駆け抜けていった。それは、時に優しく、時に激しく。時に冷たく――でもやがて、暖かく。,10/2/2004,星期六,10,2,2004
3625,死神剧场版,阿部记之,1,劇場版BLEACH Fade to Black 君の名を呼ぶ,12/13/2008,3861.0,6.5,488.0,——现在，渐渐明了的是露琪亚的过去那封闭於『记忆之暗』中的『真实』。,,,,,
3626,恋爱,森田修平,1,コイ☆セント,,3862.0,6.2,104.0,遷都2000年の祝祭に沸く、西暦2710年の奈良。スーパーハイテクノロジーの波は押し寄せるも、東大寺などの歴史的建造物は未だ健在。過去と未来が奇妙に混ざり合う、この都市に修学旅行で訪れた高校生・シンイチは、ちょっとした偶然から可愛い少女・トトと白いシカと出会い、何やら妙な出来事に巻き込まれていくのだった。,2/25/2011,,2,25,2011
3627,守护甜心,安田贤司,51,しゅごキャラ!,,3863.0,6.5,844.0,每个人的心里都蕴藏着一个理想中的自己，守护甜心以这样的想像为主轴，叙述每个孩子心中都隐藏着一颗称为心灵之蛋的神奇之蛋，里面孕育著理想中自己的可能性。,10/6/2007,土,10,6,2007
3628,放学后的昴星团,佐伯昭志,4,放課後のプレアデス,,3864.0,6.4,401.0,SUBARU（富士重工業株式会社）与GAINAX联合推出的原创魔法少女动画。,2/1/2011,,2,1,2011
